prob_type,prob_name,prob_specs,init_x,init_y,success_rate,time_min,time_max,time_mean,reqd_energy_min,reqd_energy_max,reqd_energy_mean,coll_energy_min,coll_energy_max,coll_energy_mean,net_energy_min,net_energy_max,net_energy_mean,alpha_param,build_time,spvi_time,plot_time,data_time,build_time_only
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,"[31, 34, 32.09, 51.88079362263082, 83.32921285184185, 63.287026496342214, 18.72772279381752, 34.61881169676781, 25.52777219235897, 22.04415977646707, 52.30446026476185, 37.75925430398323]",[0.5]
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,21,25,22.24,82.25023983037268,96.25449261673543,86.26459929876819,25.589108869433403,36.17821745574474,29.09376219779253,51.90360014300156,62.28735059763601,57.17083710097567,0.0
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,21,25,22.24,82.25023983037268,96.25449261673543,86.26459929876819,25.589108869433403,36.17821745574474,29.09376219779253,51.90360014300156,62.28735059763601,57.17083710097567,0.0
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,21,26,22.41,81.83470496926384,95.4319047888787,85.95911937861055,25.589108869433403,40.5891088694334,29.18628689035773,43.10085455103429,62.327944468525196,56.772832488252824,0.1
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,21,26,22.64,81.95042983165153,93.05644360303438,85.43223798906116,25.589108869433403,40.5891088694334,29.878811642974615,43.10085455103429,61.55794732493502,55.553426346086546,0.2
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,26,35,30.46,56.70282877467154,80.70295230180439,65.92933608400807,17.584158033132553,37.069306775927544,25.701683030724524,23.569165433268527,53.90763449206251,40.22765305328354,0.3
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.06,52.34159700250841,83.42233376127045,63.29887481936561,19.915841668844223,33.490098625421524,25.601138541549446,22.50496315634465,52.39758117419045,37.69773627781615,0.4
custom1,AF_DG_g50x50x50_r100_DynObs,a2x16_i25_j5_ref2,25,47,1.0,31,34,32.09,51.88079362263082,83.32921285184185,63.287026496342214,18.72772279381752,34.61881169676781,25.52777219235897,22.04415977646707,52.30446026476185,37.75925430398323,0.5
